word,formal,lazy,keyer,usage,hint
at any rate,tnra,tnra,,7,at any rate = tnra (tnra)  [7]
to point out,toet,toet,,8,to point out = toet (toet)  [8]
to honor,tone,tone,,4,to honor = tone (tone)  [4]
told us,tos,tos,,4,told us = tos (tos)  [4]
it was not,tosnt,tosnt,,5,it was not = tosnt (tosnt)  [5]
to place,tplas,tplas,,3,to place = tplas (tplas)  [3]
at the present time,tptm,tptm,,15,at the present time = tptm (tptm)  [15]
two years ago,trg,trg,,10,two years ago = trg (trg)  [10]
to reduce,trus,trus,,5,to reduce = trus (trus)  [5]
at his,ts,ts,,4,at his = ts (ts)  [4]
it is,ts,ts,,3,it is = ts (ts)  [3]
to say,tsa,tsa,,3,to say = tsa (tsa)  [3]
at the same time,tsatm,tsatm,,11,at the same time = tsatm (tsatm)  [11]
to see,tse,tse,,3,to see = tse (tse)  [3]
it seems to me,tsetme,tsetme,,8,it seems to me = tsetme (tsetme)  [8]
it is not,tsnt,tsnt,,5,it is not = tsnt (tsnt)  [5]
to go,tug,tug,,2,to go = tug (tug)  [2]
to give,tuge,tuge,,3,to give = tuge (tuge)  [3]
two or three months,tuhemnhs,tuhemnhs,,11,two or three months = tuhemnhs (tuhemnhs)  [11]
to this,tuhs,tuhs,,3,to this = tuhs (tuhs)  [3]
to us,tus,tus,,2,to us = tus (tus)  [2]
to ask,tusk,tusk,,2,to ask = tusk (tusk)  [2]
to some extent,tusmes,tusmes,,8,to some extent = tusmes (tusmes)  [8]
to take,tutak,tutak,,2,to take = tutak (tutak)  [2]
you were,ue,ue,,6,you were = ue (ue)  [6]
we understood,uestu,uestu,,8,we understood = uestu (uestu)  [8]
we were,uee,uee,,4,we were = uee (uee)  [4]
we cannot,uekn,uekn,,5,we cannot = uekn (uekn)  [5]
we will not,ueln,ueln,,7,we will not = ueln (ueln)  [7]
we always,uels,uels,,5,we always = uels (uels)  [5]
we may,uema,uema,,2,we may = uema (uema)  [2]
we refer,uerf,uerf,,4,we refer = uerf (uerf)  [4]
we are not,uern,uern,,6,we are not = uern (uern)  [6]
we are sorry,uerso,uerso,,7,we are sorry = uerso (uerso)  [7]
we do not,uetn,uetn,,5,we do not = uetn (uetn)  [5]
we do not know,uetno,uetno,,9,we do not know = uetno (uetno)  [9]
we told him,uetom,uetom,,6,we told him = uetom (uetom)  [6]
we have,uev,uev,,4,we have = uev (uev)  [4]
we have been,uevb,uevb,,8,we have been = uevb (uevb)  [8]
we advise,uevis,uevis,,4,we advise = uevis (uevis)  [4]
we have not,uevn,uevn,,7,we have not = uevn (uevn)  [7]
we have done,uevtn,uevtn,,7,we have done = uevtn (uevtn)  [7]
we shall,uez,uez,,5,we shall = uez (uez)  [5]
we shall be,uezb,uezb,,7,we shall be = uezb (uezb)  [7]
we should,uezd,uezd,,5,we should = uezd (uezd)  [5]
we hope,uhep,uhep,,3,we hope = uhep (uhep)  [3]
we had,uid,uid,,3,we had = uid (uid)  [3]
your letter,ule,ule,,8,your letter = ule (ule)  [8]
you always,uls,uls,,7,you always = uls (uls)  [7]
you may,uma,uma,,4,you may = uma (uma)  [4]
one or two,untu,untu,,6,one or two = untu (untu)  [6]
up to the time,uptm,uptm,,10,up to the time = uptm (uptm)  [10]
you are,ur,ur,,5,you are = ur (ur)  [5]
you are aware of the fact,urarf,urarf,,20,you are aware of the fact = urarf (urarf)  [20]
westerly direction,ured,ured,,14,westerly direction = ured (ured)  [14]
have been,vb,vb,,7,have been = vb (vb)  [7]
have done,vtn,vtn,,6,have done = vtn (vtn)  [6]
