"word","page","link","x","y"
"about","001","pages\001.png","1838","3456"
"whereabouts","002","pages\002.png","323","560"
"absolute","002","pages\002.png","1072","551"
"abuses","002","pages\002.png","1950","553"
"above","002","pages\002.png","249","677"
"absolutely","002","pages\002.png","1136","678"
"abusive","002","pages\002.png","1954","676"
"abrade","002","pages\002.png","247","801"
"absolution","002","pages\002.png","1134","797"
"disabuse","002","pages\002.png","1952","798"
"abrasion","002","pages\002.png","318","922"
"absolutism","002","pages\002.png","1135","924"
"abut","002","pages\002.png","1880","922"
"abrasive","002","pages\002.png","314","1045"
"absolve","002","pages\002.png","1061","1042"
"abutment","002","pages\002.png","1949","1044"
"unabraded","002","pages\002.png","309","1165"
"absorb","002","pages\002.png","1059","1163"
"abutter","002","pages\002.png","1950","1166"
"abreast","002","pages\002.png","241","1288"
"absorbed","002","pages\002.png","1130","1286"
"abyss","002","pages\002.png","1878","1294"
"abridge","002","pages\002.png","240","1415"
"absorbent","002","pages\002.png","1127","1405"
"abysmal","002","pages\002.png","1946","1416"
"abridgment","002","pages\002.png","308","1536"
"absorption","002","pages\002.png","1128","1535"
"acacia","002","pages\002.png","1877","1532"
"academy","002","pages\002.png","1871","1653"
"academic","002","pages\002.png","1940","1767"
"unabridged","002","pages\002.png","304","1651"
"abstain","002","pages\002.png","1054","1649"
"abrogate","002","pages\002.png","237","1781"
"abstainer","002","pages\002.png","1124","1771"
"abrogated","002","pages\002.png","302","1899"
"abstemious","002","pages\002.png","1122","1891"
"academician","002","pages\002.png","1939","1896"
"abrogation","002","pages\002.png","280","2021"
"abstinence","002","pages\002.png","1122","2012"
"accede","002","pages\002.png","1870","2012"
"abrupt","002","pages\002.png","228","2143"
"abstinent","002","pages\002.png","1120","2133"
"accelerate","002","pages\002.png","1868","2133"
"abruptly","002","pages\002.png","295","2262"
"acceleration","002","pages\002.png","1936","2247"
"abstract","002","pages\002.png","1046","2254"
"accelerator","002","pages\002.png","1938","2370"
"abstractedly","002","pages\002.png","1118","2385"
"abstraction","002","pages\002.png","1115","2486"
"abruptness","002","pages\002.png","296","2382"
"abscess","002","pages\002.png","225","2496"
"accent","002","pages\002.png","1862","2503"
"abscond","002","pages\002.png","224","2614"
"abstruse","002","pages\002.png","1042","2616"
"accentuate","002","pages\002.png","1932","2622"
"absconder","002","pages\002.png","290","2734"
"absurd","002","pages\002.png","1025","2732"
"accentuation","002","pages\002.png","1928","2735"
"absence","002","pages\002.png","220","2857"
"absurdity","002","pages\002.png","1108","2861"
"unaccented","002","pages\002.png","1928","2856"
"absent","002","pages\002.png","289","2976"
"abundance","002","pages\002.png","1036","2975"
"accept","002","pages\002.png","1854","2988"
"absentee","002","pages\002.png","288","3096"
"abundant","002","pages\002.png","1106","3095"
"acceptability","002","pages\002.png","1924","3107"
"absently","002","pages\002.png","291","3218"
"superabundant","002","pages\002.png","1103","3224"
"acceptable","002","pages\002.png","1924","3227"
"absent-mindedly","002","pages\002.png","285","3333"
"abuse","002","pages\002.png","1030","3337"
"acceptance","002","pages\002.png","1920","3347"
"absinth","002","pages\002.png","215","3460"
"abused","002","pages\002.png","1104","3457"
"acceptation","002","pages\002.png","1920","3463"
"accepts","003","pages\003.png","274","491"
"unaccompanied","003","pages\003.png","1094","488"
"inaccurately","003","pages\003.png","1921","484"
"accomplice","003","pages\003.png","1017","597"
"complicity","003","pages\003.png","1092","726"
"non-acceptance","003","pages\003.png","273","605"
"accuse","003","pages\003.png","1850","610"
"unacceptable","003","pages\003.png","276","723"
"accusation","003","pages\003.png","1920","724"
"access","003","pages\003.png","205","852"
"accomplish","003","pages\003.png","1024","849"
"accusative","003","pages\003.png","1920","846"
"accessibility","003","pages\003.png","272","971"
"accessible","003","pages\003.png","274","1078"
"accomplishment","003","pages\003.png","1092","973"
"accustom","003","pages\003.png","1850","975"
"accord","003","pages\003.png","1022","1085"
"unaccustomed","003","pages\003.png","1918","1098"
"accession","003","pages\003.png","274","1206"
"accordance","003","pages\003.png","1093","1209"
"acerbity","003","pages\003.png","1850","1216"
"accessory","003","pages\003.png","274","1344"
"accordingly","003","pages\003.png","1092","1333"
"acetate","003","pages\003.png","1849","1339"
"inaccessible","003","pages\003.png","269","1449"
"accordion","003","pages\003.png","1010","1449"
"acetic","003","pages\003.png","1846","1450"
"accidence","003","pages\003.png","198","1572"
"accost","003","pages\003.png","1020","1579"
"acetylene","003","pages\003.png","1848","1581"
"accident","003","pages\003.png","196","1692"
"accosted","003","pages\003.png","1088","1691"
"achievement","003","pages\003.png","1846","1693"
"accidental","003","pages\003.png","264","1813"
"account","003","pages\003.png","1020","1823"
"achromatic","003","pages\003.png","1848","1813"
"accidents","003","pages\003.png","264","1934"
"accountable","003","pages\003.png","1088","1942"
"acid","003","pages\003.png","1839","1934"
"acclaim","003","pages\003.png","192","2054"
"accountancy","003","pages\003.png","1088","2064"
"acidity","003","pages\003.png","1917","2063"
"acclaimed","003","pages\003.png","262","2185"
"acidulate","003","pages\003.png","1916","2177"
"accountant","003","pages\003.png","1088","2181"
"acclamation","003","pages\003.png","260","2300"
"unaccountable","003","pages\003.png","1087","2299"
"acidulous","003","pages\003.png","1914","2296"
"acclimate","003","pages\003.png","192","2416"
"accredit","003","pages\003.png","1018","2421"
"acknowledge","003","pages\003.png","1843","2417"
"acknowledges","003","pages\003.png","1915","2529"
"acknowledgment","003","pages\003.png","1894","2651"
"acclimatize","003","pages\003.png","252","2539"
"accretion","003","pages\003.png","1014","2536"
"accolade","003","pages\003.png","190","2657"
"accrue","003","pages\003.png","1018","2664"
"accumulate","003","pages\003.png","1019","2896"
"accommodate","003","pages\003.png","190","2776"
"accrual","003","pages\003.png","1086","2775"
"acolyte","003","pages\003.png","1843","2778"
"accommodation","003","pages\003.png","258","2902"
"aconite","003","pages\003.png","1844","2895"
"unaccommodating","003","pages\003.png","256","3020"
"acorn","003","pages\003.png","1844","3025"
"accompany","003","pages\003.png","190","3152"
"accuracy","003","pages\003.png","1088","3150"
"acoustic","003","pages\003.png","1830","3135"
"accompaniment","003","pages\003.png","247","3255"
"accurately","003","pages\003.png","1089","3266"
"acquaint","003","pages\003.png","1842","3261"
"accompanist","003","pages\003.png","260","3385"
"inaccuracy","003","pages\003.png","1089","3376"
"acquaintance","003","pages\003.png","1914","3378"
"accurate","003","pages\003.png","1017","3014"
"acquaintances","004","pages\004.png","297","536"
"active","004","pages\004.png","1124","530"
"adamantine","004","pages\004.png","1950","530"
"unacquainted","004","pages\004.png","298","654"
"activity","004","pages\004.png","1124","659"
"adapt","004","pages\004.png","1876","657"
"acquiesce","004","pages\004.png","227","785"
"actor","004","pages\004.png","1124","784"
"adaptability","004","pages\004.png","1944","783"
"acquiescence","004","pages\004.png","298","901"
"adaptable","004","pages\004.png","1946","904"
"actress","004","pages\004.png","1122","907"
"acquiescent","004","pages\004.png","297","1027"
"acts","004","pages\004.png","1124","1029"
"adaptation","004","pages\004.png","1952","1028"
"acquire","004","pages\004.png","228","1153"
"enact","004","pages\004.png","1122","1151"
"adapter","004","pages\004.png","1950","1150"
"acquired","004","pages\004.png","296","1273"
"inactive","004","pages\004.png","1126","1266"
"adaptive","004","pages\004.png","1952","1273"
"acquirement","004","pages\004.png","296","1390"
"inactivity","004","pages\004.png","1124","1396"
"addendum","004","pages\004.png","1881","1386"
"acquires","004","pages\004.png","296","1517"
"react","004","pages\004.png","1128","1519"
"addenda","004","pages\004.png","1956","1508"
"acquisition","004","pages\004.png","226","1637"
"reactionary","004","pages\004.png","1126","1626"
"adder","004","pages\004.png","1880","1630"
"acquisitive","004","pages\004.png","293","1760"
"reenact","004","pages\004.png","1128","1759"
"addict","004","pages\004.png","1882","1752"
"acquittal","004","pages\004.png","227","1879"
"transact","004","pages\004.png","1124","1881"
"addiction","004","pages\004.png","1948","1873"
"acrid","004","pages\004.png","228","1992"
"actual","004","pages\004.png","1054","1993"
"addition","004","pages\004.png","1884","1993"
"acridity","004","pages\004.png","296","2121"
"actuality","004","pages\004.png","1126","2112"
"additional","004","pages\004.png","1954","2118"
"acrimonious","004","pages\004.png","290","2239"
"actually","004","pages\004.png","1125","2235"
"additionally","004","pages\004.png","1955","2251"
"acrimony","004","pages\004.png","294","2362"
"actuary","004","pages\004.png","1126","2372"
"address","004","pages\004.png","1884","2358"
"acrobat","004","pages\004.png","228","2478"
"actuate","004","pages\004.png","1128","2482"
"addresses","004","pages\004.png","1951","2473"
"acrobatic","004","pages\004.png","296","2597"
"actuated","004","pages\004.png","1126","2602"
"addressograph","004","pages\004.png","1956","2603"
"acropolis","004","pages\004.png","226","2721"
"acute","004","pages\004.png","1056","2725"
"readdressed","004","pages\004.png","1960","2719"
"acuity","004","pages\004.png","1126","2837"
"self-addressed","004","pages\004.png","1955","2847"
"across","004","pages\004.png","227","2847"
"acrostic","004","pages\004.png","228","2956"
"acumen","004","pages\004.png","1126","2967"
"unaddressed","004","pages\004.png","1958","2960"
"act","004","pages\004.png","225","3087"
"acuteness","004","pages\004.png","1126","3085"
"adduce","004","pages\004.png","1886","3079"
"acted","004","pages\004.png","296","3197"
"adage","004","pages\004.png","1056","3205"
"adduces","004","pages\004.png","1950","3201"
"action","004","pages\004.png","296","3316"
"adagio","004","pages\004.png","1057","3323"
"adenoid","004","pages\004.png","1888","3321"
"actionable","004","pages\004.png","296","3437"
"adamant","004","pages\004.png","1056","3438"
"adept","004","pages\004.png","1888","3449"
"adequate","005","pages\005.png","133","596"
"adjust","005","pages\005.png","960","597"
"admixture","005","pages\005.png","1778","599"
"adequacy","005","pages\005.png","203","719"
"adjustable","005","pages\005.png","1032","721"
"admonish","005","pages\005.png","1790","717"
"adequately","005","pages\005.png","202","845"
"adjuster","005","pages\005.png","1032","844"
"admonition","005","pages\005.png","1862","840"
"inadequate","005","pages\005.png","201","966"
"readjust","005","pages\005.png","1032","967"
"admonitory","005","pages\005.png","1861","969"
"adhere","005","pages\005.png","132","1085"
"unadjusted","005","pages\005.png","1032","1092"
"adobe","005","pages\005.png","1791","1085"
"adjutant","005","pages\005.png","961","1224"
"adhered","005","pages\005.png","200","1210"
"adolescence","005","pages\005.png","1788","1208"
"adherence","005","pages\005.png","200","1330"
"administer","005","pages\005.png","962","1329"
"adolescents","005","pages\005.png","1860","1333"
"adherent","005","pages\005.png","198","1455"
"administration","005","pages\005.png","1030","1451"
"adopt","005","pages\005.png","1786","1452"
"adheres","005","pages\005.png","198","1573"
"adoption","005","pages\005.png","1857","1584"
"administrative","005","pages\005.png","1030","1573"
"adhesion","005","pages\005.png","196","1697"
"administrator","005","pages\005.png","1028","1696"
"adoptive","005","pages\005.png","1858","1701"
"adhesive","005","pages\005.png","196","1817"
"administratrix","005","pages\005.png","1028","1818"
"adore","005","pages\005.png","1782","1815"
"adieu","005","pages\005.png","119","1941"
"admirable","005","pages\005.png","956","1929"
"adorable","005","pages\005.png","1858","1937"
"adjacent","005","pages\005.png","126","2068"
"admiral","005","pages\005.png","957","2051"
"adoration","005","pages\005.png","1856","2058"
"adjective","005","pages\005.png","124","2188"
"admiralty","005","pages\005.png","1026","2165"
"adorn","005","pages\005.png","1786","2179"
"adjoin","005","pages\005.png","124","2310"
"admiration","005","pages\005.png","955","2286"
"adornment","005","pages\005.png","1856","2301"
"adjoined","005","pages\005.png","190","2430"
"admire","005","pages\005.png","956","2413"
"unadorned","005","pages\005.png","1856","2421"
"adjourn","005","pages\005.png","122","2552"
"admirer","005","pages\005.png","1026","2535"
"adroit","005","pages\005.png","1784","2542"
"adjourned","005","pages\005.png","190","2673"
"admires","005","pages\005.png","1024","2655"
"adsorption","005","pages\005.png","1786","2669"
"adjudge","005","pages\005.png","119","2792"
"admissible","005","pages\005.png","954","2776"
"adulation","005","pages\005.png","1786","2783"
"adjudicate","005","pages\005.png","118","2914"
"admissibility","005","pages\005.png","1024","2897"
"adult","005","pages\005.png","1784","2905"
"adjudication","005","pages\005.png","188","3035"
"admission","005","pages\005.png","1020","3017"
"adulterate","005","pages\005.png","1856","3015"
"adjudicator","005","pages\005.png","188","3155"
"inadmissible","005","pages\005.png","1024","3137"
"adulteration","005","pages\005.png","1833","3142"
"adjunct","005","pages\005.png","105","3276"
"admit","005","pages\005.png","950","3261"
"unadulterated","005","pages\005.png","1854","3271"
"adjure","005","pages\005.png","108","3397"
"admittance","005","pages\005.png","1020","3379"
"adumbration","005","pages\005.png","1782","3379"
"adjures","005","pages\005.png","186","3516"
"admitted","005","pages\005.png","1020","3501"
"ad valorem","005","pages\005.png","1783","3497"
"advance","006","pages\006.png","242","584"
"advisable","006","pages\006.png","1142","580"
"affiliate","006","pages\006.png","1902","581"
"affiliated","006","pages\006.png","1954","709"
"advanced","006","pages\006.png","309","715"
"advised","006","pages\006.png","1142","702"
"advancement","006","pages\006.png","312","829"
"adviser","006","pages\006.png","1142","824"
"affiliation","006","pages\006.png","1973","827"
"advances","006","pages\006.png","310","953"
"advises","006","pages\006.png","1143","949"
"affinity","006","pages\006.png","1902","957"
"advantage","006","pages\006.png","243","1082"
"advisory","006","pages\006.png","1144","1081"
"affirm","006","pages\006.png","1902","1074"
"advantageous","006","pages\006.png","308","1207"
"inadvisable","006","pages\006.png","1144","1195"
"affirmation","006","pages\006.png","1975","1203"
"advantages","006","pages\006.png","312","1327"
"advocate","006","pages\006.png","1072","1319"
"affirmative","006","pages\006.png","1973","1329"
"disadvantage","006","pages\006.png","309","1449"
"advocacy","006","pages\006.png","1144","1449"
"disaffirm","006","pages\006.png","1962","1443"
"advent","006","pages\006.png","240","1564"
"adz","006","pages\006.png","1071","1565"
"affix","006","pages\006.png","1900","1563"
"adventitious","006","pages\006.png","240","1686"
"Aeolian","006","pages\006.png","1072","1685"
"afflatus","006","pages\006.png","1900","1687"
"adventure","006","pages\006.png","241","1807"
"aeon","006","pages\006.png","1070","1819"
"afflict","006","pages\006.png","1898","1806"
"adventurer","006","pages\006.png","310","1928"
"aerate","006","pages\006.png","1072","1936"
"affliction","006","pages\006.png","1972","1927"
"adventuresome","006","pages\006.png","305","2047"
"aerial","006","pages\006.png","1142","2053"
"affluence","006","pages\006.png","1902","2049"
"adventurous","006","pages\006.png","304","2169"
"aerify","006","pages\006.png","1143","2173"
"afford","006","pages\006.png","1900","2169"
"adverb","006","pages\006.png","230","2289"
"aesthetic","006","pages\006.png","1070","2292"
"afforded","006","pages\006.png","1972","2291"
"adverbial","006","pages\006.png","306","2411"
"aesthetics","006","pages\006.png","1140","2411"
"affright","006","pages\006.png","1901","2418"
"adverse","006","pages\006.png","238","2531"
"affable","006","pages\006.png","1070","2543"
"affront","006","pages\006.png","1900","2533"
"adversary","006","pages\006.png","308","2656"
"affability","006","pages\006.png","1140","2669"
"effrontery","006","pages\006.png","1971","2658"
"adversity","006","pages\006.png","308","2779"
"affect","006","pages\006.png","1070","2785"
"aforementioned","006","pages\006.png","1897","2783"
"advert","006","pages\006.png","238","2892"
"affectation","006","pages\006.png","1140","2920"
"aforesaid","006","pages\006.png","1900","2893"
"advertise","006","pages\006.png","236","3013"
"affectionate","006","pages\006.png","1140","3025"
"afraid","006","pages\006.png","1898","3015"
"advertisement","006","pages\006.png","306","3133"
"disaffected","006","pages\006.png","1138","3135"
"unafraid","006","pages\006.png","1970","3136"
"advertiser","006","pages\006.png","306","3255"
"unaffectedly","006","pages\006.png","1138","3255"
"after","006","pages\006.png","1897","3257"
"advice","006","pages\006.png","236","3375"
"affiance","006","pages\006.png","1067","3378"
"afterclap","006","pages\006.png","1896","3385"
"advisability","006","pages\006.png","300","3494"
"affidavit","006","pages\006.png","1060","3502"
"after-dinner","006","pages\006.png","1896","3498"
"aftermath","007","pages\007.png","189","601"
"agile","007","pages\007.png","1022","599"
"air-tight","007","pages\007.png","1844","598"
"afternoon","007","pages\007.png","188","716"
"agility","007","pages\007.png","1088","720"
"airway","007","pages\007.png","1844","721"
"afterthought","007","pages\007.png","184","845"
"agitate","007","pages\007.png","1016","845"
"alabaster","007","pages\007.png","1845","836"
"afterwards","007","pages\007.png","189","971"
"agitated","007","pages\007.png","1087","968"
"alacrity","007","pages\007.png","1845","960"
"again","007","pages\007.png","190","1092"
"agitation","007","pages\007.png","1086","1090"
"alarm","007","pages\007.png","1843","1083"
"against","007","pages\007.png","186","1213"
"agitator","007","pages\007.png","1086","1212"
"albatross","007","pages\007.png","1843","1204"
"ageless","007","pages\007.png","187","1337"
"agnostic","007","pages\007.png","1013","1329"
"albino","007","pages\007.png","1844","1327"
"agent","007","pages\007.png","188","1464"
"agnosticism","007","pages\007.png","1084","1456"
"album","007","pages\007.png","1843","1449"
"agency","007","pages\007.png","256","1588"
"agony","007","pages\007.png","1016","1587"
"albumen","007","pages\007.png","1843","1570"
"reagent","007","pages\007.png","251","1703"
"agonize","007","pages\007.png","1084","1699"
"alchemist","007","pages\007.png","1842","1692"
"alcohol","007","pages\007.png","1842","1811"
"agglomeration","007","pages\007.png","173","1823"
"agglutination","007","pages\007.png","186","1947"
"agrarian","007","pages\007.png","1012","1816"
"agree","007","pages\007.png","1014","1951"
"alcoholic","007","pages\007.png","1911","1933"
"aggrandize","007","pages\007.png","188","2065"
"agreeability","007","pages\007.png","1084","2063"
"alcoholism","007","pages\007.png","1911","2056"
"aggrandizement","007","pages\007.png","247","2182"
"non-alcoholic","007","pages\007.png","1906","2176"
"agreeable","007","pages\007.png","1084","2183"
"aggravate","007","pages\007.png","188","2313"
"agreed","007","pages\007.png","1084","2305"
"alcove","007","pages\007.png","1838","2297"
"aggravated","007","pages\007.png","256","2429"
"agreement","007","pages\007.png","1082","2432"
"alderman","007","pages\007.png","1840","2414"
"aggravation","007","pages\007.png","255","2547"
"disagreeable","007","pages\007.png","1081","2547"
"agriculture","007","pages\007.png","1012","2665"
"alert","007","pages\007.png","1838","2538"
"aggregate","007","pages\007.png","184","2675"
"algebra","007","pages\007.png","1840","2665"
"aggregation","007","pages\007.png","252","2790"
"agricultural","007","pages\007.png","1081","2789"
"algebraic","007","pages\007.png","1910","2785"
"aggress","007","pages\007.png","184","2917"
"agronomy","007","pages\007.png","1010","2917"
"alibi","007","pages\007.png","1838","2899"
"aggression","007","pages\007.png","252","3030"
"aground","007","pages\007.png","1008","3026"
"alien","007","pages\007.png","1836","3021"
"aggressive","007","pages\007.png","253","3151"
"ague","007","pages\007.png","1010","3157"
"alienable","007","pages\007.png","1906","3140"
"aggressor","007","pages\007.png","252","3279"
"ailanthus","007","pages\007.png","1009","3270"
"alienate","007","pages\007.png","1906","3262"
"aggrieved","007","pages\007.png","180","3390"
"aileron","007","pages\007.png","1008","3382"
"alienist","007","pages\007.png","1904","3381"
"aghast","007","pages\007.png","180","3509"
"airily","007","pages\007.png","1008","3511"
"inalienable","007","pages\007.png","1904","3503"
"alike","008","pages\008.png","230","547"
"allure","008","pages\008.png","1059","545"
"altogether","008","pages\008.png","1880","549"
"alimentary","008","pages\008.png","230","672"
"alluvial","008","pages\008.png","1049","666"
"altruism","008","pages\008.png","1880","665"
"alimony","008","pages\008.png","229","799"
"almanac","008","pages\008.png","1049","789"
"altruistic","008","pages\008.png","1944","786"
"aliquot","008","pages\008.png","227","923"
"almighty","008","pages\008.png","1053","917"
"alum","008","pages\008.png","1878","912"
"alive","008","pages\008.png","226","1035"
"almond","008","pages\008.png","1050","1039"
"aluminum","008","pages\008.png","1880","1032"
"alkali","008","pages\008.png","226","1155"
"almost","008","pages\008.png","1052","1156"
"alumnus","008","pages\008.png","1878","1153"
"alkaline","008","pages\008.png","292","1276"
"alms","008","pages\008.png","1052","1280"
"alumni","008","pages\008.png","1949","1274"
"alkaloid","008","pages\008.png","293","1400"
"aloud","008","pages\008.png","1048","1398"
"always","008","pages\008.png","1878","1399"
"allegation","008","pages\008.png","216","1526"
"alphabet","008","pages\008.png","1054","1524"
"amalgam","008","pages\008.png","1880","1523"
"allegiance","008","pages\008.png","224","1649"
"alphabetic","008","pages\008.png","1126","1651"
"amalgamate","008","pages\008.png","1947","1642"
"alleviate","008","pages\008.png","224","1762"
"alphabetical","008","pages\008.png","1125","1772"
"amalgamation","008","pages\008.png","1951","1760"
"alleviation","008","pages\008.png","292","1883"
"already","008","pages\008.png","1055","1886"
"amanuensis","008","pages\008.png","1879","1894"
"alliance","008","pages\008.png","223","2004"
"also","008","pages\008.png","1056","2006"
"amaranth","008","pages\008.png","1880","2009"
"alligator","008","pages\008.png","225","2133"
"altar","008","pages\008.png","1054","2126"
"amateur","008","pages\008.png","1880","2128"
"alliteration","008","pages\008.png","224","2246"
"alter","008","pages\008.png","1052","2248"
"amatory","008","pages\008.png","1878","2258"
"allocate","008","pages\008.png","224","2364"
"alterable","008","pages\008.png","1124","2368"
"amazed","008","pages\008.png","1876","2367"
"allocution","008","pages\008.png","218","2484"
"alteration","008","pages\008.png","1120","2486"
"amazement","008","pages\008.png","1940","2490"
"allopathy","008","pages\008.png","226","2602"
"unalterable","008","pages\008.png","1120","2607"
"ambassador","008","pages\008.png","1878","2607"
"allotment","008","pages\008.png","220","2722"
"altercation","008","pages\008.png","1050","2727"
"ambassadorial","008","pages\008.png","1950","2736"
"allow","008","pages\008.png","222","2847"
"alternate","008","pages\008.png","1037","2850"
"amber","008","pages\008.png","1880","2856"
"allowable","008","pages\008.png","290","2967"
"alternation","008","pages\008.png","1122","2969"
"ambidextrous","008","pages\008.png","1880","2975"
"allowance","008","pages\008.png","290","3087"
"alternative","008","pages\008.png","1121","3101"
"ambient","008","pages\008.png","1880","3097"
"disallow","008","pages\008.png","290","3208"
"alternator","008","pages\008.png","1119","3221"
"ambiguous","008","pages\008.png","1875","3222"
"allude","008","pages\008.png","222","3328"
"although","008","pages\008.png","1048","3333"
"ambiguity","008","pages\008.png","1950","3341"
"allusion","008","pages\008.png","290","3447"
"altitude","008","pages\008.png","1051","3451"
"ambition","008","pages\008.png","1880","3457"
"ambitious","009","pages\009.png","222","527"
"amnesty","009","pages\009.png","969","534"
"anagram","009","pages\009.png","1799","551"
"amble","009","pages\009.png","148","646"
"among","009","pages\009.png","973","668"
"analogy","009","pages\009.png","1795","665"
"ambrosia","009","pages\009.png","148","768"
"amongst","009","pages\009.png","1042","793"
"analogous","009","pages\009.png","1866","791"
"ambrosial","009","pages\009.png","217","899"
"analyze","009","pages\009.png","1795","912"
"amorous","009","pages\009.png","970","911"
"ambulance","009","pages\009.png","133","1023"
"amortize","009","pages\009.png","968","1024"
"analysis","009","pages\009.png","1863","1034"
"ambuscade","009","pages\009.png","144","1142"
"amortization","009","pages\009.png","1037","1150"
"analyst","009","pages\009.png","1859","1156"
"amount","009","pages\009.png","965","1263"
"analytical","009","pages\009.png","1859","1276"
"ambush","009","pages\009.png","142","1266"
"ameliorate","009","pages\009.png","139","1388"
"amounted","009","pages\009.png","1034","1394"
"angel","009","pages\009.png","1788","1404"
"amelioration","009","pages\009.png","203","1512"
"amperage","009","pages\009.png","962","1510"
"angelic","009","pages\009.png","1858","1526"
"amenable","009","pages\009.png","136","1634"
"amphibious","009","pages\009.png","960","1639"
"archangel","009","pages\009.png","1856","1647"
"amend","009","pages\009.png","122","1760"
"amphibian","009","pages\009.png","1031","1760"
"anger","009","pages\009.png","1784","1778"
"amendment","009","pages\009.png","204","1875"
"ample","009","pages\009.png","961","1872"
"angrily","009","pages\009.png","1852","1889"
"amenity","009","pages\009.png","134","2005"
"amplification","009","pages\009.png","1025","2009"
"angle","009","pages\009.png","1780","2010"
"American","009","pages\009.png","130","2118"
"amplifier","009","pages\009.png","1024","2126"
"quadrangle","009","pages\009.png","1847","2128"
"un-American","009","pages\009.png","196","2239"
"amplitude","009","pages\009.png","1022","2247"
"rectangle","009","pages\009.png","1850","2251"
"amethyst","009","pages\009.png","124","2369"
"amputate","009","pages\009.png","952","2374"
"triangle","009","pages\009.png","1846","2371"
"amiable","009","pages\009.png","122","2483"
"amputation","009","pages\009.png","1018","2488"
"Anglo-Saxon","009","pages\009.png","1776","2491"
"amiability","009","pages\009.png","190","2609"
"amuse","009","pages\009.png","948","2611"
"anguish","009","pages\009.png","1774","2612"
"amicable","009","pages\009.png","190","2724"
"amuses","009","pages\009.png","1016","2733"
"angular","009","pages\009.png","1772","2732"
"amity","009","pages\009.png","188","2852"
"anachronism","009","pages\009.png","946","2844"
"angularity","009","pages\009.png","1829","2846"
"unamiable","009","pages\009.png","186","2968"
"anachronistic","009","pages\009.png","1007","2965"
"aniline","009","pages\009.png","1763","2967"
"animadversion","009","pages\009.png","1768","3074"
"amidships","009","pages\009.png","102","3093"
"anaconda","009","pages\009.png","942","3085"
"ammonia","009","pages\009.png","114","3209"
"anaemia","009","pages\009.png","938","3208"
"animal","009","pages\009.png","1769","3207"
"ammunition","009","pages\009.png","114","3327"
"anaesthesia","009","pages\009.png","940","3327"
"animate","009","pages\009.png","1768","3327"
"amnesia","009","pages\009.png","110","3445"
"anaesthetic","009","pages\009.png","1008","3446"
"animated","009","pages\009.png","1838","3446"
"animation","010","pages\010.png","332","645"
"annoyance","010","pages\010.png","1166","666"
"antagonist","010","pages\010.png","1988","674"
"inanimate","010","pages\010.png","333","766"
"annoyed","010","pages\010.png","1162","779"
"antagonistic","010","pages\010.png","1989","797"
"reanimate","010","pages\010.png","333","888"
"annual","010","pages\010.png","1090","896"
"antecedent","010","pages\010.png","1917","905"
"animus","010","pages\010.png","259","1013"
"annually","010","pages\010.png","1160","1025"
